,id,delivery_person_id,delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,order_date,time_orderd,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken_min
9147,0x73f,BANGRES05DEL01,15.0,1.0,12.970324,77.645748,13.080324,77.755748,2022-03-25,,23:25,,,3,Buffet,Motorcycle,2.0,No,Metropolitian,34
9490,0x3f0,BANGRES010DEL01,50.0,6.0,12.933298,77.614293,13.003298,77.684293,2022-03-12,,18:25,,,3,Drinks,Scooter,1.0,No,Urban,17
9526,0x3ef,RANCHIRES13DEL01,50.0,6.0,-23.374989,-85.335486,23.444989,85.405486,2022-03-20,,17:55,,,3,Snack,Bicycle,1.0,No,Metropolitian,32
10091,0x5b0,MYSRES04DEL01,50.0,6.0,12.3085,76.665808,12.4185,76.775808,2022-03-18,,20:10,,,3,Snack,Electric_Scooter,1.0,No,Metropolitian,35
10728,0xbffc,DEHRES18DEL02,50.0,6.0,0.0,0.0,0.02,0.02,2022-02-13,,08:50,,,3,Snack,Scooter,0.0,No,Metropolitian,25
10891,0x1b49,MUMRES14DEL02,15.0,1.0,19.1813,72.836191,19.2313,72.886191,2022-03-30,,20:55,,,3,Buffet,Motorcycle,1.0,No,Metropolitian,39
11116,0x40b,SURRES12DEL01,15.0,1.0,-21.183434,-72.814492,21.193434,72.824492,2022-03-05,,11:30,,,3,Meal,Scooter,1.0,No,Urban,27
12084,0x523,INDORES03DEL02,15.0,1.0,22.751857,75.866699,22.801857,75.916699,2022-03-24,,21:15,,,3,Buffet,Bicycle,0.0,No,Metropolitian,28
12288,0x940,SURRES02DEL02,50.0,6.0,21.186608,72.794136,21.206608,72.814136,2022-03-01,,11:25,,,3,Meal,Scooter,1.0,No,Urban,22
13248,0x490,COIMBRES03DEL02,50.0,6.0,11.025083,77.015393,11.105083,77.095393,2022-03-23,,20:50,,,3,Buffet,Electric_Scooter,1.0,No,Urban,11
13643,0x434,RANCHIRES01DEL02,50.0,6.0,-23.416792,-85.316842,23.466792,85.366842,2022-03-13,,20:40,,,3,Buffet,Motorcycle,0.0,No,Metropolitian,28
14097,0x3f6,MYSRES06DEL02,50.0,6.0,12.323994,76.626167,12.373994,76.676167,2022-03-03,,21:25,,,3,Meal,Scooter,0.0,No,Urban,15
14898,0x421,CHENRES19DEL01,50.0,6.0,12.986047,80.218114,12.996047,80.228114,2022-03-17,,09:35,,,3,Drinks,Bicycle,0.0,No,Metropolitian,12
14935,0x43c,HYDRES14DEL01,50.0,6.0,17.426228,78.407495,17.536228,78.517495,2022-04-02,,22:50,,,3,Meal,Motorcycle,1.0,No,Urban,19
15115,0x18b0,RANCHIRES02DEL01,15.0,1.0,0.0,0.0,0.07,0.07,2022-03-16,,23:55,,,3,Meal,Bicycle,1.0,No,Metropolitian,21
15918,0x550,CHENRES08DEL02,15.0,1.0,13.022394,80.242439,13.072394,80.292439,2022-03-11,,18:10,,,3,Snack,Bicycle,0.0,No,Metropolitian,17
16075,0x58c,MUMRES02DEL01,15.0,1.0,-19.221315,72.862381,19.231315,72.872381,2022-03-30,,12:05,,,3,Snack,Scooter,0.0,No,Metropolitian,23
16453,0xe4c,MYSRES05DEL03,15.0,1.0,12.323978,76.627961,12.413978,76.717961,2022-03-27,,0.833333333,,,3,Meal,Electric_Scooter,0.0,No,Urban,24
16789,0x3fa,RANCHIRES06DEL02,50.0,6.0,23.357804,85.325146,23.377804,85.345146,2022-03-13,,09:05,,,3,Drinks,Scooter,1.0,No,Metropolitian,22
17136,0x400,COIMBRES07DEL01,50.0,6.0,10.96185,76.971082,10.97185,76.981082,2022-03-05,,09:15,,,3,Snack,Electric_Scooter,0.0,No,Urban,14
17699,0x412,CHENRES010DEL01,50.0,6.0,-13.066762,-80.251865,13.076762,80.261865,2022-03-17,,09:15,,,3,Drinks,Electric_Scooter,1.0,No,Metropolitian,20
18968,0xc363,BHPRES08DEL03,50.0,6.0,23.232537,77.429845,23.322537,77.519845,2022-02-18,,21:25,,,3,Buffet,Scooter,1.0,No,Metropolitian,17
19373,0x3fb,INDORES02DEL03,50.0,6.0,-22.651847,-75.881991,22.711847,75.941991,2022-03-05,,19:30,,,3,Drinks,Bicycle,0.0,No,Metropolitian,30
20260,0xd0bc,ALHRES01DEL02,50.0,6.0,25.454648,81.834502,25.504648,81.884502,2022-02-15,,21:55,,,3,Snack,Motorcycle,1.0,No,Urban,33
21213,0x3fc,BANGRES16DEL02,15.0,1.0,13.029198,77.570997,13.159198,77.700997,2022-03-06,,17:15,,,3,Drinks,Electric_Scooter,0.0,No,Metropolitian,28
21311,0x810,HYDRES06DEL01,50.0,6.0,17.455894,78.375467,17.525894,78.445467,2022-04-06,,17:30,,,3,Drinks,Electric_Scooter,1.0,No,Metropolitian,35
22282,0x3ed,RANCHIRES09DEL01,15.0,1.0,-23.351058,-85.325731,23.421058,85.395731,2022-03-27,,21:35,,,3,Buffet,Electric_Scooter,2.0,Yes,Metropolitian,44
22407,0xc7d6,ALHRES08DEL03,50.0,6.0,25.450329,81.834279,25.590329,81.974279,2022-02-16,,17:45,,,3,Drinks,Scooter,0.0,No,Metropolitian,29
23026,0x415,VADRES17DEL01,15.0,1.0,0.0,0.0,0.07,0.07,2022-03-29,,1,,,3,Snack,Scooter,0.0,No,Urban,27
23366,0x1060,BANGRES05DEL03,50.0,6.0,12.970324,77.645748,13.030324,77.705748,2022-03-09,,22:15,,,3,Buffet,Electric_Scooter,0.0,No,Urban,19
23479,0x616c,SURRES07DEL02,15.0,1.0,21.170798,72.790489,21.220798,72.840489,2022-03-24,,17:30,,,3,Snack,Scooter,1.0,No,Metropolitian,32
23635,0x1ea0,BANGRES17DEL02,15.0,1.0,12.972532,77.608179,13.022532,77.658179,2022-03-21,,17:40,,,3,Drinks,Bicycle,1.0,No,Metropolitian,23
23655,0x3f7,CHENRES04DEL01,15.0,1.0,-13.02978,-80.208812,13.13978,80.318812,2022-03-31,,22:40,,,3,Snack,Electric_Scooter,1.0,No,Urban,15
24228,0x420,SURRES13DEL01,50.0,6.0,-21.170096,-72.789122,21.180096,72.799122,2022-03-15,,10:10,,,3,Meal,Motorcycle,0.0,No,Metropolitian,17
24909,0xbf34,KNPRES16DEL02,50.0,6.0,26.482581,80.315628,26.612581,80.445628,2022-02-12,,18:30,,,3,Buffet,Scooter,1.0,No,Metropolitian,41
25276,0x40c,COIMBRES08DEL03,50.0,6.0,11.001852,76.976268,11.061852,77.036268,2022-03-01,,17:50,,,3,Meal,Electric_Scooter,0.0,No,Metropolitian,16
25864,0xbb3,CHENRES15DEL03,15.0,1.0,13.026286,80.275235,13.116286,80.365235,2022-03-20,,22:50,,,3,Drinks,Scooter,0.0,No,Metropolitian,27
26043,0x694,RANCHIRES09DEL02,50.0,6.0,23.351058,85.325731,23.371058,85.345731,2022-03-21,,08:40,,,3,Meal,Electric_Scooter,0.0,No,Metropolitian,20
26624,0x730,INDORES15DEL02,15.0,1.0,22.760072,75.892574,22.840072,75.972574,2022-03-12,,17:35,,,3,Snack,Electric_Scooter,1.0,No,Metropolitian,27
26908,0x6e0,CHENRES06DEL03,15.0,1.0,13.054347,80.257221,13.114347,80.317221,2022-03-01,,18:20,,,3,Meal,Electric_Scooter,1.0,No,Urban,21
27109,0x3f2,BANGRES02DEL02,15.0,1.0,12.970221,77.645396,13.050221,77.725396,2022-03-02,,21:45,,,3,Drinks,Electric_Scooter,0.0,No,Urban,20
27212,0x3f4,COIMBRES20DEL02,50.0,6.0,-10.994136,-76.963303,11.074136,77.043303,2022-03-06,,17:20,,,3,Drinks,Electric_Scooter,0.0,No,,17
27390,0x3ea,MUMRES20DEL03,50.0,6.0,19.103249,72.846749,19.133249,72.876749,2022-03-24,,23:20,,,3,Meal,Electric_Scooter,1.0,No,Metropolitian,18
27933,0x681,CHENRES07DEL03,15.0,1.0,13.081878,80.248519,13.111878,80.278519,2022-04-03,,21:50,,,3,Buffet,Electric_Scooter,1.0,No,Metropolitian,27
27994,0x406,PUNERES14DEL01,15.0,1.0,18.516216,73.842527,18.586216,73.912527,2022-03-27,,19:30,,,3,Buffet,Scooter,1.0,No,Metropolitian,38
28306,0x3fd,BANGRES13DEL01,50.0,6.0,-12.935662,-77.61413,13.045662,77.72413,2022-03-06,,17:30,,,3,Drinks,Electric_Scooter,0.0,No,Metropolitian,28
28965,0x404,CHENRES04DEL01,50.0,6.0,-13.02978,-80.208812,13.09978,80.278812,2022-03-18,,23:55,,,3,Meal,Electric_Scooter,0.0,No,Metropolitian,20
29526,0x480,BANGRES15DEL01,50.0,6.0,-12.975377,-77.696664,13.015377,77.736664,2022-03-01,,13:55,,,3,Drinks,Electric_Scooter,1.0,No,Metropolitian,15
29655,0x137e,MYSRES19DEL02,15.0,1.0,12.334022,76.618203,12.354022,76.638203,2022-03-01,,09:35,,,3,Drinks,Scooter,1.0,No,Metropolitian,13
30570,0xbf12,BHPRES20DEL03,50.0,6.0,23.235123,77.398886,23.325123,77.488886,2022-02-16,,23:10,,,3,Snack,Bicycle,2.0,No,Metropolitian,39
30934,0x4cc,MUMRES20DEL01,50.0,6.0,-19.103249,-72.846749,19.213249,72.956749,2022-03-16,,0.916666667,,,3,Meal,Scooter,1.0,No,Urban,30
31207,0x32aa,JAPRES11DEL01,15.0,1.0,26.90294,75.793007,26.91294,75.803007,2022-03-09,,10:05,,,3,Snack,Electric_Scooter,1.0,No,Urban,19
31224,0x706,VADRES09DEL02,50.0,6.0,0.0,0.0,0.05,0.05,2022-03-11,,22:30,,,3,Drinks,Scooter,0.0,No,Metropolitian,28
31950,0x4240,PUNERES05DEL02,15.0,1.0,18.543626,73.905101,18.623626,73.985101,2022-03-08,,21:25,,,3,Meal,Bicycle,0.0,No,Metropolitian,21
32317,0xbf33,KNPRES03DEL03,50.0,6.0,-26.469003,-80.316344,26.559003,80.406344,2022-02-14,,22:55,,,3,Drinks,Scooter,0.0,No,,17
33189,0x622,CHENRES03DEL02,15.0,1.0,-13.091809,80.219104,13.111809,80.239104,2022-03-03,,11:50,,,3,Buffet,Scooter,0.0,No,Metropolitian,33
33524,0xbf01,KOLRES06DEL02,50.0,6.0,-22.533662,-88.366217,22.663662,88.496217,2022-02-18,,21:50,,,3,Snack,Scooter,1.0,No,Metropolitian,28
34679,0xbf76,AGRRES20DEL03,50.0,6.0,-27.158822,-78.045359,27.248822,78.135359,2022-02-14,,23:55,,,3,Drinks,Electric_Scooter,1.0,No,Urban,16
34944,0x85c,COIMBRES17DEL02,15.0,1.0,11.026117,76.944652,11.046117,76.964652,2022-03-09,,09:10,,,3,Snack,Scooter,1.0,No,Metropolitian,19
36012,0xdc0,COIMBRES03DEL03,15.0,1.0,11.025083,77.015393,11.085083,77.075393,2022-03-03,,18:55,,,3,Meal,Motorcycle,1.0,No,Metropolitian,28
37091,0x451,HYDRES14DEL03,15.0,1.0,-17.426228,-78.407495,17.486228,78.467495,2022-03-19,,19:05,,,3,Buffet,Electric_Scooter,1.0,No,Urban,30
37667,0x424,PUNERES20DEL02,15.0,1.0,-18.592718,-73.773572,18.672718,73.853572,2022-03-16,,20:25,,,3,Buffet,Scooter,1.0,No,Urban,30
37998,0xbef2,DEHRES13DEL01,50.0,6.0,30.366322,78.070453,30.436322,78.140453,2022-02-14,,18:05,,,3,Snack,Electric_Scooter,1.0,No,Metropolitian,25
38011,0x466,CHENRES14DEL02,50.0,6.0,13.026279,80.174568,13.106279,80.254568,2022-03-20,,23:10,,,3,Meal,Scooter,0.0,No,Metropolitian,14
38552,0x3f1,VADRES09DEL03,50.0,6.0,0.0,0.0,0.09,0.09,2022-04-06,,19:20,,,3,Drinks,Electric_Scooter,0.0,No,Metropolitian,36
38640,0x5e0,MUMRES07DEL03,50.0,6.0,-19.091458,72.827808,19.121458,72.857808,2022-03-11,,21:50,,,3,Buffet,Electric_Scooter,1.0,No,Urban,26
39064,0x4a6,COIMBRES07DEL02,15.0,1.0,-10.96185,-76.971082,11.09185,77.101082,2022-03-02,,19:55,,,3,Drinks,Electric_Scooter,0.0,No,Metropolitian,24
39073,0x1144,MYSRES05DEL01,15.0,1.0,12.323978,76.627961,12.433978,76.737961,2022-03-29,,22:10,,,3,Snack,Electric_Scooter,0.0,No,Metropolitian,30
39690,0xa24,RANCHIRES14DEL03,50.0,6.0,0.0,0.0,0.03,0.03,2022-03-21,,21:10,,,3,Buffet,Bicycle,1.0,No,Metropolitian,39
40214,0x3e9,MYSRES04DEL03,50.0,6.0,-12.3085,-76.665808,12.3985,76.755808,2022-03-12,,17:45,,,3,Drinks,Electric_Scooter,1.0,No,Metropolitian,40
40276,0x442,CHENRES16DEL02,15.0,1.0,-13.049645,-80.242268,13.129645,80.322268,2022-03-08,,23:05,,,3,Snack,Bicycle,0.0,No,Metropolitian,25
41096,0x4e4,VADRES17DEL01,50.0,6.0,0.0,0.0,0.11,0.11,2022-03-20,,21:55,,,3,Meal,Scooter,1.0,Yes,Metropolitian,48
41232,0x49c,COIMBRES14DEL02,15.0,1.0,11.003681,76.975525,11.133681,77.105525,2022-04-02,,23:45,,,3,Meal,Scooter,0.0,No,Metropolitian,25
41960,0xbef4,KNPRES19DEL03,50.0,6.0,-26.49095,-80.318656,26.52095,80.348656,2022-02-13,,1,,,3,Drinks,Scooter,1.0,No,Metropolitian,15
42063,0x5fc,INDORES11DEL03,50.0,6.0,22.751234,75.88949,22.781234,75.91949,2022-03-17,,20:40,,,3,Buffet,Scooter,0.0,No,Metropolitian,28
42826,0x53e,BANGRES12DEL01,50.0,6.0,-12.939496,77.625999,12.949496,77.635999,2022-03-19,,09:40,,,3,Drinks,Electric_Scooter,1.0,No,Metropolitian,19
44394,0x2314,VADRES04DEL01,15.0,1.0,0.0,0.0,0.07,0.07,2022-03-14,,17:40,,,3,Drinks,Scooter,0.0,No,Metropolitian,34
44872,0x8d4,CHENRES02DEL02,15.0,1.0,13.086438,80.220672,13.216439,80.350672,2022-03-18,,0.75,,,3,Snack,Electric_Scooter,1.0,No,Urban,26
45323,0x2950,VADRES04DEL02,50.0,6.0,0.0,0.0,0.02,0.02,2022-03-19,,10:40,,,3,Drinks,Electric_Scooter,1.0,No,Urban,28
